Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
instantiate_vectorizer,2024-05-29T14:49:41,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.0179998874664306,5.0625726596905314e-08,2.817857973171075e-06,22.5,5.17169985958892,0.0756483078002929,2.3125112056732186e-07,4.888892799999999e-08,4.623669173042799e-10,2.80602415484626e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
split_data_and_fit_vectorizer,2024-05-29T14:49:52,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,11.310120344161987,1.2842393179590794e-05,1.1354784619214629e-06,22.5,0.0263419008044243,0.1416335105895996,7.069461196660995e-05,7.638895000000001e-08,4.103289927715536e-07,7.11813299093815e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
train_logistic_regression_classifier,2024-05-29T14:49:52,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.0439972877502441,4.866709995685357e-08,1.158784995046554e-06,22.5,0.0,0.1417107582092285,2.685666084289496e-07,0.0,1.179758102409761e-09,2.697463665313573e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
predict_test_data,2024-05-29T14:49:52,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.0170001983642578,1.8063687148600044e-08,1.1289949821499934e-06,22.5,0.0,0.1417107582092285,1.000031828880376e-07,0.0,1.1813066493004518e-10,1.001213135529692e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
cross_validate_logistic_regression_10folds,2024-05-29T14:49:53,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.2690160274505615,4.862287187315628e-07,1.807371545153175e-06,22.5,13.341436049164946,0.1462883949279785,1.687663793563843e-06,9.96945242e-07,1.040320673771098e-08,2.6950122423015604e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_model_and_report,2024-05-29T14:49:56,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,2.9785964488983154,3.1419009290014262e-06,1.05447207724932e-06,22.5,1.9245300583215617,0.141547679901123,1.862251162528992e-05,-1.303334376e-06,9.53874227573692e-08,1.7414564672047286e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
initialize_paths,2024-05-29T14:28:06,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.01499605178833,1.6922976817510955e-08,1.130616587409899e-06,22.5,0.0,0.0540704727172851,9.375363588333129e-08,0.0,4.5080528063105404e-11,9.37987164113944e-08,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_dataset,2024-05-29T14:28:07,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.9042274951934814,8.621108751325678e-07,9.534217857506048e-07,22.5,9.832450792000548,0.0745368003845214,5.651414394378662e-06,-8.79445148e-07,6.439089444635707e-09,4.7784083358232975e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_vectorizer,2024-05-29T14:28:07,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.018003225326538,5.1809676686006936e-08,2.877266258362471e-06,22.5,5.20513228149962,0.0745611190795898,2.375215291976928e-07,4.9166706000000025e-08,4.76441752539358e-10,2.871646769502318e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
perepare_data_for_model_training,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,11.493192911148071,1.3046842159628114e-05,1.1353809493521724e-06,22.5,0.0251410454573938,0.1405978202819824,7.182594388723372e-05,7.416672599999996e-08,4.144154297781218e-07,7.231452604301186e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
